,required,required,optional,required,required,required,required,optional,required,repeated,repeated,required,repeated,required,repeated,required
,1000889,丧尸法师,302,1,1,3,1,1,1000889,1021,1001301;1001302;1001303,"0,1,0,2;1,0,1,2",0,"0,1,2;1,0,1,0,2;0,1,1;1,0,1,2",0,0
,1000890,狂化阿噗,302,1,1,6,1,1,1000890,1021,1003301;1003302;1003303,"0,1,2;0,0,2",0,"0,1,2;1,0,1,0,2",0,0
,1000908,野蛮孤狼,0,0,1,1,1,5,10023,,1002301;1002302,"0,1,0;1,0,1,0",0,"0,1;1,0,1,0,1;0,1,0;1,0,1",0,0
丧尸法师,1000909,贪婪,0,2,1,6,1,80,1000909,3010,1003101;1003102;1003103;1003110;1003111;1003112,"0,0",0,"0,0",0,0
鹿角兽队长,1000910,黑色荆棘,0,2,1,4,1,90,1000910,3010,1002101;1002102;1002103,"0,0",0,"0,0",0,0
寄居熊,1000911,绝世舞姬,0,2,1,4,1,90,1000911,3010,1002201;1002202;1002203,"0,0",0,"0,0",0,0
沙漠巨人,1000912,萨米尔,0,2,1,6,1,90,1000912,3010,1003501;1003502;1003503;1003504,"0,0",0,"0,0",0,0
,1000914,北极赤狐,0,0,1,5,1,1,1000914,,1000801;1000802,"0,0,1;0,0,1",0,"0,0,1;0,0,1",0,0
,1000915,白鲢青鱼,0,0,1,5,1,1,1000915,,1002801;1002802,"0,1,0;1,0,1,0",0,"0,1;1,0,1,0;0,1,0;1,0,1",0,0
,1000921,猩红魔箱,0,0,1,6,1,19,1000921,,1000901;1000902,"0,0,1",0,"0,0,1",0,0
,1000922,主宰的魔族亡者,0,0,1,3,1,0,1000922,,5200101;5200102,"0,1,0;1,0,1,0",0,"0,1;1,0,1,0,1;0,1,0;1,0,1",0,0
,1000923,湮灭的魔族亡者,0,0,1,3,1,0,1000923,,5200201;5200202,"0,0,1",0,"0,0,1",0,0
,1000924,觉醒的魔族亡者,0,1,1,3,1,0,1000924,,5200301;5200302,"1,0,0,1;0,1,1",0,"0,1,1;1,0,0,1",0,0
,1000925,破败的魔族亡者,0,1,1,3,1,0,1000925,,5200801;5200802;5200803,"0,1;0,0,2",0,"0,1;0,0,2;0,1;0,1,2,2;0",0,0
,1000926,堕落的冒险者,0,0,1,3,1,0,1000926,,1004001;1004002,"0,1,0;1,0,1,0",0,"0,1;1,0,1,0,1;0,1,0;1,0,1",0,0
,1000927,鹿角兽巡逻兵,0,0,1,1,1,0,1000927,,1003401;1003402,"0,1,0;1,0,1,0",0,"1,0,1,0,1;0,1,1;0,1,0,1;1,0,1",0,0
,1000928,鹿角兽巡逻兵,0,0,1,1,1,0,1000928,,1003401;1003402,"0,1,0;1,0,1,0",0,"1,0,1,0,1;0,1,1;0,1,0,1;1,0,1",0,0
,1000929,鹿角兽指挥官,0,1,1,1,1,1,1000929,,1002401;1002402,"0,1,0;1,0,1,0",0,"1,0,1,0,1;0,1,1;0,1,0,1;1,0,1",0,0
,1000930,鹿角兽指挥官,0,1,1,1,1,1,1000930,,1002401;1002402,"0,1,0;1,0,1,0",0,"1,0,1,0,1;0,1,1;0,1,0,1;1,0,1",0,0
,1000937,哥布林刺客,0,0,1,5,1,0,1000937,,1000501;1000502,"0,1,1",0,"0,1;0,1,1",0,0
,1000938,哥布林战士,0,0,1,5,1,0,1000938,,1000701;1000702,"0,0,1",0,"0,0,1",0,0
,1000939,哥布林哨兵,0,1,1,5,1,0,1000939,,1000701;1000702,"0,0,1",0,"0,0,1",0,0
,1000940,狂化哥布林,0,1,1,5,1,0,1000940,,1000501;1000502,"0,1,1",0,"0,1;0,1,1",0,0
,1000954,严谨的黑铠战卫,0,0,1,3,1,1,1000954,,5200201;5200202,"0,0,1",0,"0,0,1",0,0
,1000955,执着的黑铠战卫,0,0,1,3,1,1,1000955,,5200301;5200302,"1,0,0,1;0,1,1",0,"0,1,1;1,0,0,1",0,0
,1000957,扭曲不死者,0,0,1,3,1,39,1000957,,1004501;1004502,"0,1,0;1,0,1,0",0,"0,1;1,0,1,0,1;0,1,0;1,0,1",0,0
,1000958,扭曲不死者,0,0,1,3,1,39,1000958,,1004501;1004502,"0,1,0;1,0,1,0",0,"0,1;1,0,1,0,1;0,1,0;1,0,1",0,0
,1000959,荒漠异蝎,0,0,1,2,1,0,1000959,1061;1021,1002701;1002702;1002703,"0,1,2;0,2",0,"0,0,1,2;0,2;0,1,2",0,0
,1000960,雾夜女巫,0,0,1,6,1,0,1000960,,1005401;1005402;1005403,"0,1,2",0,"0,1,2",0,0
,1000961,幽冥鬼煞,0,0,1,6,2,1,1000961,,900201;900202;900203;900204,"0,1,2,3;1,0,2,1",0,"0,2,1,3;0,1,2;0,1,1;1,2,3;1,0,2,1",0,0
,1000962,魅影幻像,0,0,1,6,2,1,1000962,,1005701;1005702;1005703;1005704,"2,3;0,1,2",0,"0,1,2;0,1;2,3",0,0
,1000963,蜘蛛女王,0,2,2,6,1,1,1000963,,900301;900302;900303;900304,"0,1,2,3;1,0,2,1",0,"0,2,1,3;0,1,2;0,1,1;1,2,3;1,0,2,1",0,0
,1000964,荒漠异蝎,0,0,1,2,1,0,1000964,1061;1021,1002701;1002702;1002703,"0,1,2;0,2",0,"0,0,1,2;0,2;0,1,2",0,0
,1000965,雾夜女巫,0,0,1,6,1,0,1000965,,1005401;1005402;1005403,"0,1,2",0,"0,1,2",0,0
,1000966,幽冥鬼煞,0,0,1,6,2,1,1000966,,900201;900202;900203;900204,"0,1,2,3;1,0,2,1",0,"0,2,1,3;0,1,2;0,1,1;1,2,3;1,0,2,1",0,0
,1000967,魅影幻像,0,0,1,6,2,1,1000967,,1005701;1005702;1005703;1005704,"2,3;0,1,2",0,"0,1,2;0,1;2,3",0,0
,1000968,蜘蛛女王,0,2,2,6,1,1,1000968,,900301;900302;900303;900304,"0,1,2,3;1,0,2,1",0,"0,2,1,3;0,1,2;0,1,1;1,2,3;1,0,2,1",0,0
,1000969,荒漠异蝎,0,0,1,2,1,0,1000969,1061;1021,1002701;1002702;1002703,"0,1,2;0,2",0,"0,0,1,2;0,2;0,1,2",0,0
,1000970,雾夜女巫,0,0,1,6,1,0,1000970,,1005401;1005402;1005403,"0,1,2",0,"0,1,2",0,0
,1000971,幽冥鬼煞,0,0,1,6,2,1,1000971,,900201;900202;900203;900204,"0,1,2,3;1,0,2,1",0,"0,2,1,3;0,1,2;0,1,1;1,2,3;1,0,2,1",0,0
,1000972,魅影幻像,0,0,1,6,2,1,1000972,,1005701;1005702;1005703;1005704,"2,3;0,1,2",0,"0,1,2;0,1;2,3",0,0
,1000973,蜘蛛女王,0,2,2,6,1,1,1000973,,900301;900302;900303;900304,"0,1,2,3;1,0,2,1",0,"0,2,1,3;0,1,2;0,1,1;1,2,3;1,0,2,1",0,0
,1000974,荒漠异蝎,0,0,1,2,1,0,1000974,1061;1021,1002701;1002702;1002703,"0,1,2;0,2",0,"0,0,1,2;0,2;0,1,2",0,0
,1000975,雾夜女巫,0,0,1,6,1,0,1000975,,1005401;1005402;1005403,"0,1,2",0,"0,1,2",0,0
,1000976,幽冥鬼煞,0,0,1,6,2,1,1000976,,900201;900202;900203;900204,"0,1,2,3;1,0,2,1",0,"0,2,1,3;0,1,2;0,1,1;1,2,3;1,0,2,1",0,0
,1000977,魅影幻像,0,0,1,6,2,1,1000977,,1005701;1005702;1005703;1005704,"2,3;0,1,2",0,"0,1,2;0,1;2,3",0,0
,1000978,蜘蛛女王,0,2,2,6,1,1,1000978,,900301;900302;900303;900304,"0,1,2,3;1,0,2,1",0,"0,2,1,3;0,1,2;0,1,1;1,2,3;1,0,2,1",0,0
,1000979,荒漠异蝎,0,0,1,2,1,0,1000979,1061;1021,1002701;1002702;1002703,"0,1,2;0,2",0,"0,0,1,2;0,2;0,1,2",0,0
,1000980,雾夜女巫,0,0,1,6,1,0,1000980,,1005401;1005402;1005403,"0,1,2",0,"0,1,2",0,0
,1000981,幽冥鬼煞,0,0,1,6,2,1,1000981,,900201;900202;900203;900204,"0,1,2,3;1,0,2,1",0,"0,2,1,3;0,1,2;0,1,1;1,2,3;1,0,2,1",0,0
,1000982,魅影幻像,0,0,1,6,2,1,1000982,,1005701;1005702;1005703;1005704,"2,3;0,1,2",0,"0,1,2;0,1;2,3",0,0
,1000983,蜘蛛女王,0,2,2,6,1,1,1000983,,900301;900302;900303;900304,"0,1,2,3;1,0,2,1",0,"0,2,1,3;0,1,2;0,1,1;1,2,3;1,0,2,1",0,0
,1000992,狂妄的恶狼盗匪,0,0,1,1,1,0,10023,1111,1002301;1002302,"0,1,0;1,0,1,0",0,"0,1;1,0,1,0,1;0,1,0;1,0,1",0,0
,1000993,勤恳的萤熊佣兵,0,0,1,1,1,0,10001,1111,1004901;1004902,"0,0,1;0,0,1",0,"0,0,1;0,0,1",0,0
,1000994,贪婪的恶狼盗匪,0,0,1,1,1,0,10044,,1004401;1004402,"0,1,0;1,0,1,0",0,"0,1;1,0,1,0,1;0,1,0;1,0,1",0,0
,1000995,狂妄的恶狼盗匪,0,0,1,1,1,0,10023,1111,1002301;1002302,"0,1,0;1,0,1,0",0,"0,1;1,0,1,0,1;0,1,0;1,0,1",0,0
,1000996,勤恳的萤熊佣兵,0,0,1,1,1,0,10001,1111,1004901;1004902,"0,0,1;0,0,1",0,"0,0,1;0,0,1",0,0
,1000997,狂妄的恶狼盗匪,0,0,1,1,1,0,10023,1111,1002301;1002302,"0,1,0;1,0,1,0",0,"0,1;1,0,1,0,1;0,1,0;1,0,1",0,0
,1000998,勤恳的萤熊佣兵,0,0,1,1,1,0,10001,1111,1004901;1004902,"0,0,1;0,0,1",0,"0,0,1;0,0,1",0,0
鹿角兽队长,1001000,鹿角男爵尤德,0,1,1,1,1,0,1001000,,1002401;1002402,"0,1,0;1,0,1,0",0,"1,0,1,0,1;0,1,1;0,1,0,1;1,0,1",0,0
杀人蜂,1001001,丛林开膛手,203,1,1,2,1,0,1001001,1051,1002501;1002502;1002503,"0,1,0,2;1,0,1,2",0,"0,1,2;1,0,1,0,2;0,1,1;1,0,1,2",0,0
哈蒙,1001002,食人酋长布鲁,101,1,1,1,1,0,1001002,1111,1001201;1001202;1001203,"2,0,1,0;0,1,2",0,"2,0,1,0;0,1,2",0,0
蝎怪,1001003,毒蝎领主维克,0,2,1,2,1,0,1001003,1061,1002701;1002702;1002703,"0,1,2;0,2",0,"0,0,1,2;0,2;0,1,2",0,0
先驱者一号,1001005,先驱者1号,101,1,1,7,1,0,1001005,1021,1001601;1001602;1001603,"0,1,2",0,"0,1,0,2;0,1,2",0,0
寄居熊,1001006,北境战师贝尔沃,101,1,1,1,1,0,1001006,,1004901;1004902,"0,0,1;0,0,1",0,"0,0,1;0,0,1",0,0
大鱼妖,1001007,怒鳍半鱼人,101,1,1,5,1,0,1001007,1021,1002001;1002002;1002003,"0,1,2",0,"0,1,0,2;0,1,2;0,2,1,2;0,1,2",0,0
丧尸法师,1001008,扭曲丧尸,204,1,1,3,1,0,1001008,,1001301;1001302;1001303,"0,1,0,2;1,0,1,2",0,"0,1,2;1,0,1,0,2;0,1,1;1,0,1,2",0,0
武装熊人战士,1001009,北方暴君纳森,101,1,1,1,1,0,1001009,1111,1001501;1001502;1001503,"2,0,1",0,"0,1;0,1,2;0,1;2,0,1",0,0
丧尸法师,1001010,腐尸巫王,0,1,1,3,1,0,1001010,,1001301;1001302;1001303,"0,1,0,2;1,0,1,2",0,"0,1,2;1,0,1,0,2;0,1,1;1,0,1,2",0,0
黑暗法师,1001011,暮夜法师普洛斯,0,1,1,6,1,0,1001011,1111;1141,5201001;5201002;5201003,"2,0,1,2",0,"2,1,0,2;0,1,2",0,0
蝎怪,1001012,毒蝎领主维克,201,1,1,2,1,0,1001012,1061;1021,1002701;1002702;1002703,"0,1,2;0,2",0,"0,0,1,2;0,2;0,1,2",0,0
草原哥布林,1001013,草原哥布林,0,0,1,5,1,0,1001013,,1000701;1000702,"0,0,1",0,"0,0,1",0,0
草原哥布林,1001014,发疯的哥布林,0,0,1,5,1,10,1001014,3004,1000701;1000702,"0,0,1",0,"0,0,1",0,0
,1001016,夜崎隐,0,2,1,2,1,0,1001016,1051,10301;10302;10303;10304;10305;10306;10307;10308,"0,2,3,4,6",0,"0,2,4;1,3,6",0,0
哈蒙,1001017,哈蒙,0,1,1,1,1,12,1001017,,1001201;1001202;1001203,"2,0,1,0;0,1,2",0,"2,0,1,0;0,1,2",0,0
鹿角兽,1001021,阔斧鹿角兽,0,0,1,1,1,0,10006,,1000601;1000602,"0,1,0;1,0,1,0",0,"1,0,1,0,1;0,1,1;0,1,0,1;1,0,1",0,0
鱼妖,1001022,半鱼人,1,0,1,5,1,0,10028,1021,1002801;1002802,"0,1,0;1,0,1,0",0,"0,1;1,0,1,0;0,1,0;1,0,1",0,0
山岭巨人,1001023,山岩领主蒙多,101,1,1,5,1,0,1001023,1111;1011,1001401;1001402;1001403,"0,1,2",0,"0,1,0,1;2,0,1;0,1,0,1;0,1,2",0,0
普通盗贼,1001024,玫瑰团流浪者,1,0,1,4,1,0,10001,,1000101;1000102,"0,1,0;1,0,1,0",0,"0,1;1,0,1,0,1;0,1,0;1,0,1",0,0
鱼妖,1001025,半鱼人,102,0,1,5,1,0,1001025,1021,1002801;1002802,"0,1,0;1,0,1,0",0,"0,1;1,0,1,0;0,1,0;1,0,1",0,0
小鱼龙,1001026,刺戟半鱼人,102,0,1,5,1,0,1001026,,1004701;1004702,"0,1,0;1,0,1,0",0,"0,1;1,0,1,0;0,1,0;1,0,1",0,0
感染的冒险者,1001027,红袭盗匪,103,0,1,3,1,0,1001027,,1003801;1003802,"0,1,0,1,0;1,0",0,"0,1;1,0,1,0,1;0,1,0;1,0,1",0,0
泪目狼人,1001028,雪狼刃兵,101,0,1,1,1,0,1001028,,1004401;1004402,"0,1,0;1,0,1,0",0,"0,1;1,0,1,0,1;0,1,0;1,0,1",0,0
神秘兽,1001029,角蜥人,101,0,1,5,1,0,1001029,,1005301;1005302,"0,0,1;0,0,1",0,"0,0,1;0,0,1",0,0
黑甲虫,1001030,大王甲虫,102,0,1,2,1,0,1001030,,1005601;1005602,"0,0,1",0,"0,0,1",0,0
,1001031,血藤卡莎莉,201,1,1,5,2,0,1001031,,500001;500002,"0,0,1",0,"0,0,1",0,0
战魂之灵,1001032,亡魂死徒,1,0,1,3,1,0,52001,,5200101;5200102,"0,1,0;1,0,1,0",0,"0,1;1,0,1,0,1;0,1,0;1,0,1",0,0
红甲虫,1001033,雾血甲虫,102,0,1,2,1,0,1001033,,1005501;1005502,"0,0,1",0,"0,0,1",0,0
草原游侠,1001041,玫瑰团追随者,0,0,1,4,1,11,1001041,1011,1000301;1000302,"0,0,1",0,"0,0,1",0,0
普通盗贼,1001042,玫瑰团流浪者,0,0,1,3,1,12,1001042,1011,1003801;1003802,"0,1,0,1,0;1,0",0,"0,1;1,0,1,0,1;0,1,0;1,0,1",0,0
黑色荆棘,1001044,黑色蔷薇费玛,0,2,1,4,1,13,1001044,1331,1002101;1002102;1002103,"0,1,0,2;1,0,1",0,"0,1,0;1,2,1,0;0,1,1;0,1,1;1,0,1,2",0,0
强盗贝拉,1001045,强盗贝拉,0,1,1,4,1,13,1001045,1031,1002201;1002202;1002203,"0,1,0;0,1,2",0,"0,1,0;0,1,2;1,0,1;1,0,1;1,0,2",0,0
,1001051,鹿角兽,0,0,1,1,1,30,1001051,1141,1003401;1003402,"0,1,0;1,0,1,0",0,"1,0,1,0,1;0,1,1;0,1,0,1;1,0,1",0,0
战魂之灵,1001052,战魂之灵暗,0,0,1,3,1,0,1001052,1251,5200101;5200102,"0,1,0;1,0,1,0",0,"0,1;1,0,1,0,1;0,1,0;1,0,1",0,0
,1001053,巨刃鹿角兽,0,1,1,1,1,30,1001053,1141,1003401;1003402,"0,1,0;1,0,1,0",0,"1,0,1,0,1;0,1,1;0,1,0,1;1,0,1",0,0
黑暗法师,1001054,黑暗法师-火,0,1,1,6,1,0,1001054,1111;1141,5201001;5201002;5201003,"2,0,1,2",0,"2,1,0,2;0,1,2",0,0
,1001055,食魂鹿角兽,0,1,1,1,1,31,1001055,1141,1002401;1002402,"0,1,0;1,0,1,0",0,"1,0,1,0,1;0,1,1;0,1,0,1;1,0,1",0,0
,1001056,嗜血死神萨米尔,0,2,1,6,2,31,1001056,1101,1003501;1003502;1003503;1003504,"0,1,2,3;1,0,2,1",0,"3,1,2;1,0,2;1,0,2;2,0,1,3;1,0,2",0,0
战魂之灵,1001061,战魂之灵,0,0,1,3,1,27,1001061,1141,5200101;5200102,"0,1,0;1,0,1,0",0,"0,1;1,0,1,0,1;0,1,0;1,0,1",0,0
战魂之殇,1001062,战魂之殇,0,0,1,3,1,27,1001062,,5200201;5200202,"0,0,1",0,"0,0,1",0,0
暗黑战魂,1001063,暗黑战魂,0,0,1,3,1,28,1001063,1022,5200801;5200802;5200803,"0,1,0;0,0,2",0,"0,0;0,0,2;0,0;0,1;0,1,2,2",0,0
战魂之灵,1001064,战魂之灵·火,0,0,1,3,1,28,1001064,1012,5200101;5200102,"0,1,0;1,0,1,0",0,"0,1;1,0,1,0,1;0,1,0;1,0,1",0,0
战魂之灵,1001065,战魂之灵·冰,0,0,1,3,1,28,1001065,1022,5200101;5200102,"0,1,0;1,0,1,0",0,"0,1;1,0,1,0,1;0,1,0;1,0,1",0,0
战魂之灵,1001066,战魂之灵·光,0,0,1,3,1,28,1001066,3001,5200101;5200102,"0,1,0;1,0,1,0",0,"0,1;1,0,1,0,1;0,1,0;1,0,1",0,0
战魂之灵,1001067,战魂之灵·暗,0,0,1,3,1,28,1001067,1311,5200101;5200102,"0,1,0;1,0,1,0",0,"0,1;1,0,1,0,1;0,1,0;1,0,1",0,0
黑暗法师,1001068,诺尔,0,2,1,6,1,28,1001068,,5201001;5201002;5201003,"0,1,2;0,1,2",0,"0,1,2;0,0,1",0,0
贪婪,1001069,贪婪,0,2,1,6,1,20,1001069,1111;1121;1141;1061,1003101;1003102;1003103;1003110;1003111;1003112,"0,1,2;1,0,2",0,"5,5",0,0
嗜血战魂,1001070,黑骑士迪亚,0,0,1,3,1,28,1001070,1012,5200301;5200302,"0,0,1;0,0,1,1",0,"0,0;0,0,1;0,0;0,0,1,1",0,0
,1001078,小狐狸,0,0,1,5,1,1,1001078,,1000801;1000802,"0,1;1,1;1,0",0,"0,1;1,1;1,0",0,0
,1001079,小狐狸,0,0,1,5,1,1,1001079,,1000801;1000802,"0,1;1,1;1,0",0,"0,1;1,1;1,0",0,0
,1001080,兰奇,0,0,1,4,1,1,1001080,,10301;10302;10303;10304;10305;10306;10307,"0,2;1,5;2,6",0,"2,4;3,6",0,0
,1001081,山岭巨人,0,1,1,5,1,1,1001081,1111;1011,1001401;1001402;1001403,"0,2;1,2;2,0",0,"2,1;1,1",0,0
,1001082,檐鬼,0,0,1,6,2,1,1001082,,10601;10602;10603;10604;10605;10606;10607,"0,2;1,5;2,6",0,"2,4;3,6",0,0
,1001083,兰奇,0,0,1,4,1,1,1001083,,10301;10302;10303;10304;10305;10306;10307,"0,2;1,5;2,6",0,"2,4;3,6",0,0
,1001084,乔伊,0,0,1,6,1,1,1001084,,40101;40102;40103;40104;40105;40106;40107,"0,2;1,5;2,6",0,"2,4;3,6",0,0
,1001085,西蒙,0,0,1,4,1,1,1001085,,10101;10102;10103;10104;10105;10106;10107,"0,2;1,5;2,6",0,"2,4;3,6",0,0
,1001086,西蒙,0,0,1,4,1,1,1001086,,10101;10102;10103;10104;10105;10106;10107,"0,2;1,5;2,6",0,"2,4;3,6",0,0
,1001087,西蒙,0,0,1,4,1,1,1001087,,10101;10102;10103;10104;10105;10106;10107,"0,2;1,5;2,6",0,"2,4;3,6",0,0
,1001088,温丽,0,0,2,4,2,1,1001088,,20101;20102;20103;20104;20105;20106;20107,"0,2;1,5;2,6",0,"2,4;3,6",0,0
,1001089,温丽,0,0,2,4,2,1,1001089,,20101;20102;20103;20104;20105;20106;20107,"0,2;1,5;2,6",0,"2,4;3,6",0,0
,1001090,温丽,0,0,2,4,2,1,1001090,,20101;20102;20103;20104;20105;20106;20107,"0,2;1,5;2,6",0,"2,4;3,6",0,0
,1001091,爱琳娜,0,0,2,4,2,1,1001091,,30101;30102;30103;30104;30105;30106;30107,"0,2;1,5;2,6",0,"2,4;3,6",0,0
,1001092,爱琳娜,0,0,2,4,2,1,1001092,,30101;30102;30103;30104;30105;30106;30107,"0,2;1,5;2,6",0,"2,4;3,6",0,0
,1001093,爱琳娜,0,0,2,4,2,1,1001093,,30101;30102;30103;30104;30105;30106;30107,"0,2;1,5;2,6",0,"2,4;3,6",0,0
,1001094,泰雷,0,0,1,4,1,1,1001094,,10201;10202;10203;10204;10205;10206;10207,"0,2;1,5;2,6",0,"2,4;3,6",0,0
,1001095,泰雷,0,0,1,4,1,1,1001095,,10201;10202;10203;10204;10205;10206;10207,"0,2;1,5;2,6",0,"2,4;3,6",0,0
,1001096,泰雷,0,0,1,4,1,1,1001096,,10201;10202;10203;10204;10205;10206;10207,"0,2;1,5;2,6",0,"2,4;3,6",0,0
小石头人,1001097,滚石怪,101,0,1,5,1,0,1001097,1011,1001701;1001702,"0,0,1;0,0,1",0,"0,0,1;0,0,1",0,0
宝箱怪,1001098,噬人箱,102,0,1,6,1,0,1001098,,1000901;1000902,"0,0,1",0,"0,0,1",0,0
A型感染者,1001099,不死丧尸,104,0,1,3,1,0,1001099,,1001901;1001902,"0,1,0;1,0,1,0",0,"0,1;1,0,1,0,1;0,1,0;1,0,1",0,0
,1001100,兰奇,0,0,1,4,1,1,1001100,,10301;10302;10303;10304;10305;10306;10307,"0,2;1,5;2,6",0,"2,4;3,6",0,0
,1001101,兰奇,0,0,1,4,1,1,1001101,,10301;10302;10303;10304;10305;10306;10307,"0,2;1,5;2,6",0,"2,4;3,6",0,0
,1001102,兰奇,0,0,1,4,1,1,1001102,,10301;10302;10303;10304;10305;10306;10307,"0,2;1,5;2,6",0,"2,4;3,6",0,0
,1001103,木禅,0,1,1,5,1,1,1001103,1637;1631,10401;10402;10403;10404;10405;10406;10407,"0,2;1,5;2,6",0,"2,4;3,6",0,0
,1001104,木禅,0,1,1,5,1,1,1001104,1637;1631,10401;10402;10403;10404;10405;10406;10407,"0,2;1,5;2,6",0,"2,4;3,6",0,0
,1001105,木禅,0,1,1,5,1,1,1001105,1637;1631,10401;10402;10403;10404;10405;10406;10407,"0,2;1,5;2,6",0,"2,4;3,6",0,0
,1001106,檐鬼,0,0,1,6,2,1,1001106,,10601;10602;10603;10604;10605;10606;10607,"0,2;1,5;2,6",0,"2,4;3,6",0,0
,1001107,檐鬼,0,0,1,6,2,1,1001107,,10601;10602;10603;10604;10605;10606;10607,"0,2;1,5;2,6",0,"2,4;3,6",0,0
,1001108,檐鬼,0,0,1,6,2,1,1001108,,10601;10602;10603;10604;10605;10606;10607,"0,2;1,5;2,6",0,"2,4;3,6",0,0
,1001109,夜崎隐,0,0,1,6,1,1,1001109,,10701;10702;10703;10704;10705;10706;10707,"0,2;1,5;2,6",0,"2,4;3,6",0,0
,1001110,夜崎隐,0,0,1,6,1,1,1001110,,10701;10702;10703;10704;10705;10706;10707,"0,2;1,5;2,6",0,"2,4;3,6",0,0
,1001111,夜崎隐,0,0,1,6,1,1,1001111,,10701;10702;10703;10704;10705;10706;10707,"0,2;1,5;2,6",0,"2,4;3,6",0,0
,1001112,乔伊,0,0,1,6,1,1,1001112,,40101;40102;40103;40104;40105;40106;40107,"0,2;1,5;2,6",0,"2,4;3,6",0,0
,1001113,乔伊,0,0,1,6,1,1,1001113,,40101;40102;40103;40104;40105;40106;40107,"0,2;1,5;2,6",0,"2,4;3,6",0,0
,1001114,乔伊,0,0,1,6,1,1,1001114,,40101;40102;40103;40104;40105;40106;40107,"0,2;1,5;2,6",0,"2,4;3,6",0,0
,1001115,葛莱蒂斯,0,0,1,5,2,1,1001115,,10501;10502;10503;10504;10505;10506;10507,"0,2;1,5;2,6",0,"2,4;3,6",0,0
,1001116,葛莱蒂斯,0,0,1,5,2,1,1001116,,10501;10502;10503;10504;10505;10506;10507,"0,2;1,5;2,6",0,"2,4;3,6",0,0
,1001117,葛莱蒂斯,0,0,1,5,2,1,1001117,,10501;10502;10503;10504;10505;10506;10507,"0,2;1,5;2,6",0,"2,4;3,6",0,0
,1001118,阿德琳,0,0,1,1,2,1,1001118,,10801;10802;10803;10804;10805;10806;10807,"0,2;1,5;2,6",0,"2,4;3,6",0,0
,1001119,阿德琳,0,0,1,1,2,1,1001119,,10801;10802;10803;10804;10805;10806;10807,"0,2;1,5;2,6",0,"2,4;3,6",0,0
,1001120,阿德琳,0,0,1,1,2,1,1001120,,10801;10802;10803;10804;10805;10806;10807,"0,2;1,5;2,6",0,"2,4;3,6",0,0
,1001121,米兰达,0,1,1,4,1,1,1001121,1618,11201;11202;11203;11204;11205;11206;11207,"0,2;1,5;2,6",0,"2,4;3,6",0,0
,1001122,米兰达,0,1,1,4,1,1,1001122,1618,11201;11202;11203;11204;11205;11206;11207,"0,2;1,5;2,6",0,"2,4;3,6",0,0
,1001123,米兰达,0,1,1,4,1,1,1001123,1618,11201;11202;11203;11204;11205;11206;11207,"0,2;1,5;2,6",0,"2,4;3,6",0,0
,1001128,爱琪,0,0,2,4,2,1,1001128,,30201;30202;30203;30204;30205;30206;30207,"0,2;1,5;2,6",0,"2,4;3,6",0,0
,1001129,爱琪,0,0,2,4,2,1,1001129,,30201;30202;30203;30204;30205;30206;30207,"0,2;1,5;2,6",0,"2,4;3,6",0,0
,1001130,爱琪,0,0,2,4,2,1,1001130,,30201;30202;30203;30204;30205;30206;30207,"0,2;1,5;2,6",0,"2,4;3,6",0,0
,1001131,异化强化体,0,0,1,3,1,0,10019,,1001901;1001902,"0,1,0;1,0,1,0",0,"0,1;1,0,1,0,1;0,1,0;1,0,1",0,0
,1001132,异化强化体,0,0,1,3,1,0,10019,,1001901;1001902,"0,1,0;1,0,1,0",0,"0,1;1,0,1,0,1;0,1,0;1,0,1",0,0
,1001133,堕魔法师,0,1,1,3,1,0,10013,,1001301;1001302;1001303,"0,1,0,2;1,0,1,2",0,"0,1,2;1,0,1,0,2;0,1,1;1,0,1,2",0,0
,1001134,狂化者布拉依,0,1,1,6,1,0,10033,1021,1003301;1003302;1003303,"0,1,2;0,0,2",0,"0,1,2;1,0,1,0,2",0,0
,1001135,失落改造人,0,0,1,3,1,0,10001,,1004501;1004502,"0,1,0;1,0,1,0",0,"0,1;1,0,1,0,1;0,1,0;1,0,1",0,0
,1001136,失落改造人,0,0,1,3,1,0,10001,,1004501;1004502,"0,1,0;1,0,1,0",0,"0,1;1,0,1,0,1;0,1,0;1,0,1",0,0
,1001137,幽冥邪神·罗宾,0,2,1,6,1,0,1001137,3005,1003101;1003102;1003103;1003110;1003111;1003112,"0,1,2;0,2",0,"0,0,1,2;0,2;0,1,2",0,0
,1001138,隐雾主宰·尼克,0,2,1,6,2,1,1001138,,900001;900002;900003;900004,"2,1,3;0,1,1",0,"0,1,2;0,2,1,3;0,1,1",0,0
,1001139,墓石领主·伊莱,0,2,1,6,2,1,1001139,,900201;900202;900203;900204,"0,1,2,3;1,0,2,1",0,"0,2,1,3;0,1,2;0,1,1;1,2,3;1,0,2,1",0,0
,1001140,夜幕女爵·琳娜,0,1,1,6,1,0,1001140,,1003701;1003702;1003703;1003704,"0,1,2,3",0,"0,1,2,3",0,0
,1001141,阴魂祭司·特尔,0,2,1,6,1,0,1001141,1141,5201001;5201002;5201003,"2,0,1,2",0,"2,1,0,2;0,1,2",0,0
,1001142,密林女王·杜莎,0,2,2,6,1,1,1001142,,900301;900302;900303;900304,"0,1,2,3;1,0,2,1",0,"0,2,1,3;0,1,2;0,1,1;1,2,3;1,0,2,1",0,0
